,actor1,assoc_actor_1,actor2,assoc_actor_2,admin1,mon_yr,notes,event_id_cnty,event_id_no_cnty
1288,Protesters (Nigeria),Labour Group (Nigeria),,,Osun,2020-12,"On 10 December 2020, Osun athletes staged a demonstration at the State House of Assembly in Oshogbo (Osogbo LGA, Osun) to protest the non payments of their salaries and demanded the immediate removal of the Commissioner for Youth and Sports. [size= no report]",NIG19151,19151
2383,Protesters (Nigeria),IMN: Islamic Movement In Nigeria; Muslim Group (Nigeria),Gov(Nigeria),,Federal Capital Territory,2020-12,"Around 8 December 2020 (as reported), members of the Islamic Movement of Nigeria staged demonstrations at Wuse Market and Berger Roundabout in Abuja (Abuja Municipal LGA, FCT) to protest the continued detention of their leader. Police forces fired tear gas to disperse the demonstrators. [size=no report]",NIG19127,19127
2969,Protesters (Nigeria),APC: All Progressives Congress,,,Enugu,2020-12,"On 7 December 2020, members of APC from Isiuzo Local Government Area staged a demonstration at the Independent National Electoral Commission (INEC) office in Enugu (Enugu North LGA, Enugu) to protest the outcome of the Dec. 5 by-election result in Isiuzo State Constituency. [size=no report]",NIG19119,19119
2994,Protesters (Nigeria),Labour Group (Nigeria),,,Oyo,2020-12,"On 7 December 2020, scores of physically challenged persons staged demonstrations at the State Government Secretariat and on major roads leading to the Secretariat in Ibadan (Akinyele LGA, Oyo), to demand more slots in the non-teaching arm of the Oyo State Teaching Service Commission (TESCOM). [size=scores]",NIG19116,19116
5110,Protesters (Nigeria),Gov(Nigeria),,,Katsina,2020-12,"On 3 December 2020, Nigerian police officers demonstrated in the streets of Batsari (Batsari LGA, Katsina) to protest against their unpaid allowances. [size=no report]",NIG19072,19072
5116,Protesters (Nigeria),Labour Group (Nigeria),,,Federal Capital Territory,2020-12,"On 3 December 2020, government workers under the aegis of Concerned Unpaid Contractors 2018 of the Federal Ministry of Agriculture and Rural Development staged a demonstration at the headquarters of the Federal Ministry of Finance in Abuja (Abuja Municipal LGA, FCT) to protest their unpaid contract funds by the ministry. [size=no report]",NIG19070,19070
5143,Protesters (Nigeria),Labour Group (Nigeria),,,Bayelsa,2020-12,"On 3 December 2020, truck drivers staged a demonstration at Igbogene toll gate in Yenagoa (Yenegoa LGA, Bayelsa) to protest against the government's multiple levies and alleged harassment by the government's task force. [size=no report]",NIG19081,19081
5511,Protesters (Nigeria),Labour Group (Nigeria),,,Plateau,2020-12,"On 2 December 2020, local government council workers staged a protest at the Jos-Abuja Highway around Bukuru (Jos South LGA, Plateau) over the non-implementation of the new minimum wage in the state. [size=no report]",NIG19062,19062
5516,Protesters (Nigeria),Labour Group (Nigeria),,,Plateau,2020-12,"On 2 December 2020, local government council workers staged a protest in Quaan Pan LGA (Plateau) over the non-implementation of the new minimum wage in the state. [size=no report]",NIG19060,19060
5756,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2020-12,"On 2 December 2020, staff members of Access Bank staged a demonstration in front of the Head Office in Victoria Island (Eti-Osa LGA, Lagos) to protest lay-offs and the non-payment of wages. [size=no report]",NIG19068,19068
5760,Protesters (Nigeria),Teachers (Nigeria); Students (Nigeria),,,Edo,2020-12,"On 2 December 2020, the academic staff and students of Igbinedion University staged demonstrations on Mission Road and other major roads in Benin City (Oredo LGA, Edo) to protest against the non-payment of wages and other stipends. [size=no report]",NIG19061,19061
6626,Protesters (Nigeria),Farmers (Nigeria),,,Anambra,2020-11,"Around 30 November 2020 (as reported), over 100 farmers and residents of Ndiowu staged demonstrations at the Government House and House of Assembly in Awka (Awka South LGA, Anambra) to protest against the unconstitutional imposition of a caretaker committee in Ndiowu Town Union. [size=over 100]",NIG19044,19044
8269,Protesters (Nigeria),Labour Group (Nigeria),,,Kwara,2020-11,"On 27 November 2020, Kwara athletes staged a demonstration at the entrance of the Ministry of Sports and Youth Development in Illorin (Ilorin East LGA, Kwara) to protest the non payments of their camp allowances by the government. [size=no report]",NIG19015,19015
9662,Protesters (Nigeria),Women (Nigeria),,,Delta,2020-11,"On 24 November 2020, women of Oleh community staged a protest in Oleh (Isoko South LGA, Delta) over the murder of twelve inhabitants by yet-to-be-identified gunmen. [size=no report]",NIG18997,18997
10018,Protesters (Nigeria),Farmers (Nigeria),,,Kogi,2020-11,"Around 24 November 2020 (as reported), several farmers took to the streets in Egbe (Yagba West LGA, Kogi) to protest against the destruction of their farmlands and crops by herdsmen. [size=several]",NIG18986,18986
11905,Protesters (Nigeria),Labour Group (Nigeria),,,Federal Capital Territory,2020-11,"Around 20 November 2020 (as reported), newspaper vendors staged a protest in Abuja (Abuja Municipal LGA, FCT) over the killing of their colleague by a security operative attached to the House of Representatives Speaker. [size=no report]",NIG18941,18941
12364,Protesters (Nigeria),Students (Nigeria),,,Osun,2020-11,"Around 19 November 2020 (as reported), students of Osun State College of Education (OSSCE) staged protest marches on major roads in the school community in Ila Orangun (Ila LGA, Osun) over the suspension of lectures by their teachers. [size=no report]",NIG18939,18939
12952,Protesters (Nigeria),Students (Nigeria),,,Ogun,2020-11,"Around 18 November 2020 (as reported), students of Ogun State Institute of Technology (OGITECH) blocked the entrance of the institution in Igbesa (Ada-Odo/Ita LGA, Ogun) to protest the death of one of their colleagues who reportedly died as a result of the poor healthcare system in the institution. [size=no report]",NIG18931,18931
13034,Protesters (Nigeria),Labour Group (Nigeria),,,Osun,2020-11,"On 18 November 2020, retirees staged a protest at the State Secretariat in Abere (Osogbo LGA, Osun) over the non-payment of pension arrears. [size=no report]",NIG18928,18928
13572,Protesters (Nigeria),Labour Group (Nigeria),,,Lagos,2020-11,"On 16 November 2020, some workers of Egbin Power Plant staged a protest at the Plant located at Ijede/Egbin (Ikorodu LGA, Lagos) over their poor working conditions and welfare packages. [size=no report]",NIG18917,18917
16145,Protesters (Nigeria),Farmers (Nigeria),,,Benue,2020-11,"On 11 November 2020, over five thousand applicants of the Nigeria Incentive-based Risk Sharing System for Agricultural Lending (NIRSAL) under the aegis of CBN-NIRSAL Loan Applicants Association staged a protest in Makurdi (Makurdi LGA, Benue) over the non-disbursement of loans and the hijacking of the process by politicians. [size=over five thousand]",NIG18885,18885
16285,Protesters (Nigeria),Students (Nigeria),,,Osun,2020-11,"Around 11 November 2020 (week of), students of the Federal Polytechnic Ede staged demonstrations at the institution in Ede (Ede North LGA, Osun) to protest against the continuous sit-down-strike embarked upon by their lecturers. [size=no report]",NIG18901,18901
17320,Protesters (Nigeria),Protestant Christian Group (Nigeria),,,Enugu,2020-11,"On 9 November 2020, church members and priests of the Agbani Methodist Diocese staged demonstrations in Ugbawka Community (Nkanu East LGA, Enugu) over the demolition of its properties, Church and other buildings by villagers in Enugu. [size=no report]",NIG18869,18869
18037,Protesters (Nigeria),Christian Group (Nigeria),,,Benue,2020-11,"On 8 November 2020, members of Divine Shadow Church staged a protest in Daudu (Guma LGA, Benue) over the death of their pastor and demanded justice. [size=no report]",NIG18860,18860
18740,Protesters (Nigeria),#EndSARS,Gov(Nigeria),,Federal Capital Territory,2020-11,"On 6 November 2020, #EndSARS supporters staged a demonstration in front of the National Assembly in Abuja (Abuja Municipal LGA, FCT) to protest against police brutality. Police forces fired tear gas to disperse the demonstrators and arrested no less than four demonstrators. [size=no report]",NIG18833,18833
