,actor1,assoc_actor_1,actor2,assoc_actor_2,collab_events,mon_yr,notes,event_id_cnty,event_id_no_cnty
67,Protesters (Democratic Republic of Congo),RCD-K-ML: Rally for Congolese Democracy-Kisangani-Liberation Movement,,,1,2020-12,"On 12 December 2020, members and supporters of the RCD-K-ML political party marched in Oicha (Beni, Nord-Kivu) to support the president Tshisekedi and to show their refusal against the FCC pro-Kabila political party. They asked the president to continue pursuing new political alliances and break with Kabila's political platform. [size=no report]",DRC19608,19608
365,Protesters (Morocco),CNES: National Coordination of Trainee Teachers; FNE: National Federation of Education; Teachers (Morocco); CDT: Democratic Confederation of Labour; Labour Group (Morocco),Gov(Morocco),Gov(Morocco),,2020-12,"On 12 December 2020, the auxiliary forces and the Moroccan police dispersed a sit-in held by dozens of members of the National Coordination of Trainee Teachers (CNES) and the National Federation of Education (FNE) affiliated with the Democratic Federation of Labour (CDT) in Guercif (Oriental, Guercif). Protesters were denouncing the reform of teachers' promotion system by the Ministry of Education. Several teachers were reportedly injured during the police intervention. [size=dozens]",MOR3698,3698
616,Protesters (Morocco),Muslim Group (Morocco); ANDCM: National Association of Unemployed Graduates In Morocco; Labour Group (Morocco),Gov(Morocco),,,2020-12,"On 11 December 2020, the Moroccan police intervened to disperse a protest held by participants in the Friday prayer at the Tajmouti mosque in Fes (Fes). Protesters were denouncing Moroccan authorities' decision to normalize relations with the state of Israel. The National Association of Unemployed Graduates in Morocco (ANDCM) held a protest sit-in in Fes (Fes) to denounce human rights abuse in Morocco and the government's decision to normalize relations with the state of Israel. [size=no report]",MOR3693,3693
641,Protesters (Chad),Transformers,Gov(Chad),,,2020-12,"On 11 December 2020, the Chadian police fired tear gas and dispersed a protest march held by the Transformers movement in Ndjamena (N'Djamena). Protesters were starting a movement of civil disobedience in Ndjamena against the Government of Idriss Deby. The leader of the movement, Succes Masra, was arrested by the police. [size=no report]",CHA1160,1160
1288,Protesters (Nigeria),Labour Group (Nigeria),,,,2020-12,"On 10 December 2020, Osun athletes staged a demonstration at the State House of Assembly in Oshogbo (Osogbo LGA, Osun) to protest the non payments of their salaries and demanded the immediate removal of the Commissioner for Youth and Sports. [size= no report]",NIG19151,19151
1339,Protesters (Democratic Republic of Congo),UDPS: Union for Democracy and Social Progress; FCC: Common Front for Congo,Gov(DRC),,,2020-12,"On 10 December 2020, pro-Tshisekedi members of the UDPS party and rival pro-Kabila members of the FCC coalition demonstrated outside the national parliament in Kinshasa (Kinshasa, Kinshasa) for the third time that week. The police intervened and fired teargas to disperse the crowd, as the risk of skirmishes between the rival groups was high. They demonstrated the day that a majority of MPs voted to force out the National Assembly's pro-Kabila president, Jeanine Mabunda, an act that was celebrated as a victory by the pro-Tshisekedi supporters. [size=no report]",DRC19595,19595
1650,Protesters (Morocco),Teachers (Morocco),Gov(Morocco),Gov(Morocco),,2020-12,"On 9 December 2020, the auxiliary forces and the Moroccan police dispersed a sit-in held by trainee teachers in Sidi Slimane (Rabat-Sale-Kenitra, Kenitra). Protesters were denouncing their exclusion from a recruitment contest organized by the Ministry of Education. [size=no report]",MOR3684,3684
2383,Protesters (Nigeria),IMN: Islamic Movement In Nigeria; Muslim Group (Nigeria),Gov(Nigeria),,,2020-12,"Around 8 December 2020 (as reported), members of the Islamic Movement of Nigeria staged demonstrations at Wuse Market and Berger Roundabout in Abuja (Abuja Municipal LGA, FCT) to protest the continued detention of their leader. Police forces fired tear gas to disperse the demonstrators. [size=no report]",NIG19127,19127
2491,Protesters (Democratic Republic of Congo),Students (Democratic Republic of Congo),Gov(DRC),,,2020-12,"On 8 December 2020, a group of residents, mostly students, demonstrated and blocked streets in Goma city (Goma, Nord-Kivu). They showed their outrage for the kidnapping of one of their teachers by unknown armed men that day. The police intervened a few hours later and dispersed the group. A group of college students also marched in Goma to denounce the rise of violence in this town, calling for a 2-day strike. [size=no report]",DRC19581,19581
2650,Protesters (Morocco),Labour Group (Morocco),Gov(Morocco),Gov(Morocco),,2020-12,"On 8 December 2020, the auxiliary forces and the Moroccan police dispersed a gathering of unemployed graduates in front of the Ministry of Finance and Economy in Rabat (Rabat). Protesters were denouncing their socioeconomic conditions and demanding job opportunities. [size=no report]",MOR3680,3680
