Country,Type,Year,USDprice,USD_Int,Subsidy_price
Kenya,Urea,2017,23.56,213.875,190.32
Kenya,Urea,2018,25.1,249.4495833,224.35
Kenya,Urea,2019,26.61,245.2816667,218.67
Kenya,Urea,2020,23.81,229.1008333,205.29
Senegal,Urea,2010,31.08,288.9041667,257.82
Senegal,Urea,2011,30.87,398.9229167,368.05
Senegal,Urea,2012,35.44,398.6006944,363.16
Senegal,Urea,2013,40.73,339.6145833,298.88
Senegal,Urea,2014,33.44,308.4375,275.00
Senegal,Urea,2015,31.12,277.9375,246.82
Senegal,Urea,2016,27.79,194.1291667,166.34
Senegal,Urea,2017,29.91,213.875,183.97
Senegal,Urea,2018,30.78,249.4495833,218.67
Senegal,Urea,2019,28.42,245.2816667,216.86
Senegal,Urea,2020,29.69,229.1008333,199.41
Nigeria,Urea,2010,26.5,288.9041667,262.40
Nigeria,Urea,2011,29.37,398.9229167,369.55
Nigeria,Urea,2012,33.34,398.6006944,365.26
Nigeria,Urea,2013,31.73,339.6145833,307.88
Nigeria,Urea,2014,29.63,308.4375,278.81
Nigeria,Urea,2015,26.9,277.9375,251.04
Nigeria,Urea,2016,27.45,194.1291667,166.68
Nigeria,Urea,2017,23.34,213.875,190.54
Nigeria,Urea,2018,19.35,249.4495833,230.10
Nigeria,Urea,2019,18.49,245.2816667,226.79
Nigeria,Urea,2020,19.89,229.1008333,209.21
Ghana,Urea,2010,18.09,288.9041667,270.81
Ghana,Urea,2011,21.42,398.9229167,377.50
Ghana,Urea,2012,24.5,398.6006944,374.10
Ghana,Urea,2013,26.01,339.6145833,313.60
Ghana,Urea,2014,31.17,308.4375,277.27
Ghana,Urea,2015,29.6,277.9375,248.34
Ghana,Urea,2016,27.51,194.1291667,166.62
Ghana,Urea,2017,21.95,213.875,191.93
Ghana,Urea,2018,18.91,249.4495833,230.54
Ghana,Urea,2019,18.83,245.2816667,226.45
Ghana,Urea,2020,19.42,229.1008333,209.68
Malawi,Urea,2010,37.12,288.9041667,251.78
Malawi,Urea,2011,42.95,398.9229167,355.97
Malawi,Urea,2012,47.22,398.6006944,351.38
Malawi,Urea,2013,47.71,339.6145833,291.90
Malawi,Urea,2014,42.05,308.4375,266.39
Malawi,Urea,2015,37.63,277.9375,240.31
Malawi,Urea,2016,29.73,194.1291667,164.40
Malawi,Urea,2017,27.02,213.875,186.86
Malawi,Urea,2018,28.65,249.4495833,220.80
Malawi,Urea,2019,28.22,245.2816667,217.06
Malawi,Urea,2020,26.1,229.1008333,203.00
Namibia,Urea,2017,24.50,213.875,189.37
Namibia,Urea,2018,25.77,249.4495833,223.68
Namibia,Urea,2019,25.92,245.2816667,219.36
Namibia,Urea,2020,21.78,229.1008333,207.32
