"","act_nopo"
"1","Islamic State (West Africa) and/or Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad"
"2","Unidentified Armed Group (Nigeria)"
"3","Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad"
"4","Kaduna Communal Militia (Nigeria)"
"5","Islamic State (West Africa)"
"6","Katsina Communal Militia (Nigeria)"
"7","Zamfara Communal Militia (Nigeria)"
"8","Yansakai Militia"
"9","Ozoro Communal Militia (Nigeria)"
"10","Fulani Ethnic Militia (Nigeria)"
"11","Unidentified Communal Militia (Nigeria)"
"12","Niger Communal Militia (Nigeria)"
"13","Edikwu Communal Militia (Nigeria)"
"14","Kogi Communal Militia (Nigeria)"
"15","Hausa Ethnic Militia (Nigeria)"
"16","Bakira Communal Militia (Nigeria)"
"17","Agila Communal Militia (Nigeria)"
"18","APC: All Progressives Congress"
"19","Tiv Ethnic Militia (Nigeria)"
"20","Icelander Cult Militia"
"21","Yagba Communal Militia (Nigeria)"
"22","Civilian JTF: Civilian Joint Task Force"
"23","Lassa Communal Militia (Nigeria)"
"24","Adara Ethnic Militia (Nigeria)"
"25","Lessel Communal Militia (Nigeria)"
"26","Gora Communal Militia (Nigeria)"
"27","Bassa Ethnic Militia (Nigeria)"
"28","Bachama Ethnic Militia (Nigeria)"
"29","Oku Iboku Communal Militia (Nigeria)"
"30","Igbeagu Communal Militia (Nigeria)"
"31","Muslim Militia (Nigeria)"
"32","Kadara Ethnic Militia (Nigeria)"
"33","Wanikade Communal Militia (Nigeria)"
"34","Odukpani Ethnic Militia (Nigeria)"
"35","Ikot Offiong Communal Militia (Nigeria)"
"36","Yoruba Ethnic Militia (Nigeria)"
"37","BSF: Bakassi Strike Force"
"38","Shawa Communal Militia (Nigeria)"
"39","UN: United Nations"
"40","NDA: Niger Delta Avengers"
"41","Agatu Ethnic Militia (Nigeria)"
"42","Ndoro Ethnic Militia (Nigeria)"
"43","Kuteb Ethnic Militia (Nigeria)"
"44","Fulani Ethnic Militia (Chad)"
"45","Ologba Communal Militia (Nigeria)"
"46","Faa Communal Militia (Nigeria)"
"47","BVYG: Borno Vigilance Youths Group"
"48","Unidentified Ethnic Militia (Nigeria)"
"49","Eggon Ethnic Militia (Nigeria)"
"50","Maiha Communal Militia (Nigeria)"
"51","Jukun Ethnic Militia (Nigeria)"
"52","Shuwa Ethnic Militia (Nigeria)"
"53","Egbema Ethnic Militia (Nigeria)"
"54","Tarok Ethnic Militia (Nigeria)"
"55","Amagu Communal Militia (Nigeria)"
"56","Christian Militia (Nigeria)"
"57","MEND: Movement for the Emancipation of the Niger Delta"
"58","Ezza Ethnic Militia (Nigeria)"
"59","Muslim Youth Sect Militia (Nigeria)"
"60","Bajju Ethnic Militia (Nigeria)"
"61","PDP: Peoples Democratic Party"
"62","Berom Ethnic Militia (Nigeria)"
"63","Kalo-Kato Militia"
"64","Al-Sunna wal Jamma Militia"
"65","Viking 22 Student Militia"
"66","Ijaw Ethnic Militia (Nigeria)"
"67","Urhobo Ethnic Militia (Nigeria)"
"68","Igbo Ethnic Militia (Nigeria)"
"69","Area Boys Militia"
"70","Igbarra Ethnic Militia (Nigeria)"
"71","Itsekiri Ethnic Militia (Nigeria)"
"72","Yugur Ethnic Militia (Nigeria)"
"73","Private Security Forces (Ivory Coast)"
"74","Unidentified Armed Group (Chad)"
"75","OPC: Oodua Peoples Congress"
"76","Mambilla Ethnic Militia (Nigeria)"
"77","Civilians (Nigeria)"
"78","Ansaru"
"79","Choba Ethnic Militia (Nigeria)"
"80","Gurbi Communal Militia"
"81","Takum Communal Militia (Nigeria)"
"82","Unidentified Cult Militia (Nigeria)"
"83","Jibia Communal Militia (Nigeria)"
"84","Kankara Communal Militia (Nigeria)"
"85","Jan-Ruwa Communal Militia (Nigeria)"
"86","Tsafe Communal Militia (Nigeria)"
"87","Militia (Terwase Agwaza)"
"88","Mozum Communal Militia (Nigeria)"
"89","Zanoka Communal Militia (Nigeria)"
"90","Cross River Communal Militia (Nigeria)"
"91","Militia (Buharin Daji)"
"92","Irigwe Ethnic Militia (Nigeria)"
"93","IPOB: Indigenous Peoples of Biafra"
"94","Wanihem Communal Militia (Nigeria)"
"95","Mafa Communal Militia (Nigeria)"
"96","Militia (Ndigbara)"
"97","Egbas Ethnic Militia (Nigeria)"
"98","Militia (Pro-Government)"
"99","Kanberi Ethnic Militia (Nigeria)"
"100","Shiite Muslim Militia (Nigeria)"
