"","list_fat"
"1","Military Forces of Nigeria (2015-)"
"2","Islamic State (West Africa) and/or Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad"
"3","Unidentified Armed Group (Nigeria)"
"4","Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad"
"5","Kaduna Communal Militia (Nigeria)"
"6","Islamic State (West Africa)"
"7","Katsina Communal Militia (Nigeria)"
"8","Zamfara Communal Militia (Nigeria)"
"9","Yansakai Militia"
"10","Ozoro Communal Militia (Nigeria)"
"11","Fulani Ethnic Militia (Nigeria)"
"12","Unidentified Communal Militia (Nigeria)"
"13","Niger Communal Militia (Nigeria)"
"14","Edikwu Communal Militia (Nigeria)"
"15","Kogi Communal Militia (Nigeria)"
"16","Military Forces of Nigeria (2015-) Joint Task Force"
"17","Military Forces of Niger (2011-)"
"18","Hausa Ethnic Militia (Nigeria)"
"19","Bakira Communal Militia (Nigeria)"
"20","Agila Communal Militia (Nigeria)"
"21","APC: All Progressives Congress"
"22","Tiv Ethnic Militia (Nigeria)"
"23","Icelander Cult Militia"
"24","Yagba Communal Militia (Nigeria)"
"25","Civilian JTF: Civilian Joint Task Force"
"26","Lassa Communal Militia (Nigeria)"
"27","Adara Ethnic Militia (Nigeria)"
"28","Police Forces of Nigeria (2015-)"
"29","Lessel Communal Militia (Nigeria)"
"30","Gora Communal Militia (Nigeria)"
"31","Bassa Ethnic Militia (Nigeria)"
"32","Bachama Ethnic Militia (Nigeria)"
"33","Oku Iboku Communal Militia (Nigeria)"
"34","Igbeagu Communal Militia (Nigeria)"
"35","Muslim Militia (Nigeria)"
"36","Kadara Ethnic Militia (Nigeria)"
"37","Wanikade Communal Militia (Nigeria)"
"38","Odukpani Ethnic Militia (Nigeria)"
"39","Ikot Offiong Communal Militia (Nigeria)"
"40","Yoruba Ethnic Militia (Nigeria)"
"41","BSF: Bakassi Strike Force"
"42","Shawa Communal Militia (Nigeria)"
"43","UN: United Nations"
"44","NDA: Niger Delta Avengers"
"45","Agatu Ethnic Militia (Nigeria)"
"46","Ndoro Ethnic Militia (Nigeria)"
"47","Kuteb Ethnic Militia (Nigeria)"
"48","Military Forces of Cameroon (1982-)"
"49","Military Forces of Nigeria (1999-2015)"
"50","Fulani Ethnic Militia (Chad)"
"51","Ologba Communal Militia (Nigeria)"
"52","Military Forces of Chad (1990-)"
"53","Faa Communal Militia (Nigeria)"
"54","Police Forces of Nigeria (1999-2015)"
"55","BVYG: Borno Vigilance Youths Group"
