State,Area,Month,MN,Day,year,Product,USDprice,Date,Date2
Adamawa,Jimeta,Dec,12,1,2010,Urea,19.7,12/1/2010,12/1/2010
Adamawa,Jimeta,Jan,1,1,2011,Urea,19.69,1/1/2011,1/1/2011
Adamawa,Jimeta,Feb,2,1,2011,Urea,19.65,2/1/2011,2/1/2011
Adamawa,Jimeta,Sep,9,1,2011,Urea,22.82,9/1/2011,9/1/2011
Adamawa,Jimeta,Oct,10,1,2011,Urea,22.98,10/1/2011,10/1/2011
Adamawa,Jimeta,Dec,12,1,2011,Urea,31.38,12/1/2011,12/1/2011
Adamawa,Jimeta,Feb,2,1,2012,Urea,24.03,2/1/2012,2/1/2012
Adamawa,Jimeta,Mar,3,1,2012,Urea,34.51,3/1/2012,3/1/2012
Adamawa,Jimeta,Apr,4,1,2012,Urea,28.27,4/1/2012,4/1/2012
Adamawa,Jimeta,May,5,1,2012,Urea,28.22,5/1/2012,5/1/2012
Adamawa,Jimeta,Jun,6,1,2012,Urea,31.44,6/1/2012,6/1/2012
Adamawa,Jimeta,Jul,7,1,2012,Urea,33.29,7/1/2012,7/1/2012
Adamawa,Jimeta,Aug,8,1,2012,Urea,33.37,8/1/2012,8/1/2012
Adamawa,Jimeta,Sep,9,1,2012,Urea,32.41,9/1/2012,9/1/2012
Adamawa,Jimeta,Oct,10,1,2012,Urea,32.38,10/1/2012,10/1/2012
Adamawa,Jimeta,Nov,11,1,2012,Urea,33.66,11/1/2012,11/1/2012
Adamawa,Jimeta,Dec,12,1,2012,Urea,33.63,12/1/2012,12/1/2012
Adamawa,Jimeta,Jan,1,1,2013,Urea,34.26,1/1/2013,1/1/2013
Adamawa,Jimeta,Feb,2,1,2013,Urea,33.68,2/1/2013,2/1/2013
Adamawa,Jimeta,Mar,3,1,2013,Urea,34.29,3/1/2013,3/1/2013
Adamawa,Jimeta,May,5,1,2013,Urea,32.44,5/1/2013,5/1/2013
Adamawa,Jimeta,Jul,7,1,2013,Urea,32.55,7/1/2013,7/1/2013
Adamawa,Jimeta,Aug,8,1,2013,Urea,27.65,8/1/2013,8/1/2013
Adamawa,Jimeta,Sep,9,1,2013,Urea,27.13,9/1/2013,9/1/2013
Adamawa,Jimeta,Oct,10,1,2013,Urea,23.91,10/1/2013,10/1/2013
Adamawa,Jimeta,Nov,11,1,2013,Urea,24.98,11/1/2013,11/1/2013
Adamawa,Mubi,Dec,12,1,2010,Urea,24.94,12/1/2010,12/1/2010
Adamawa,Mubi,Mar,3,1,2011,Urea,33.04,3/1/2011,3/1/2011
Adamawa,Mubi,Sep,9,1,2011,Urea,25.34,9/1/2011,9/1/2011
Anambra,Abagana,Jan,1,1,2017,Urea,22.5,1/1/2017,1/1/2017
Anambra,Abagana,Feb,2,1,2017,Urea,28.69,2/1/2017,2/1/2017
Anambra,Abagana,Mar,3,1,2017,Urea,22.28,3/1/2017,3/1/2017
Anambra,Abagana,Apr,4,1,2017,Urea,25.08,4/1/2017,4/1/2017
Anambra,Abagana,May,5,1,2017,Urea,24.74,5/1/2017,5/1/2017
Anambra,Abagana,Jun,6,1,2017,Urea,23.74,6/1/2017,6/1/2017
Anambra,Abagana,Jul,7,1,2017,Urea,23.81,7/1/2017,7/1/2017
Anambra,Abagana,Sep,9,1,2017,Urea,21.54,9/1/2017,9/1/2017
Anambra,Abagana,Oct,10,1,2017,Urea,20.87,10/1/2017,10/1/2017
Anambra,Abagana,Nov,11,1,2017,Urea,20.92,11/1/2017,11/1/2017
Anambra,Abagana,Dec,12,1,2017,Urea,20.83,12/1/2017,12/1/2017
Anambra,Abagana,Jan,1,1,2018,Urea,20.82,1/1/2018,1/1/2018
Anambra,Abagana,Feb,2,1,2018,Urea,19.42,2/1/2018,2/1/2018
Anambra,Abagana,Mar,3,1,2018,Urea,18.05,3/1/2018,3/1/2018
Anambra,Abagana,Apr,4,1,2018,Urea,18.11,4/1/2018,4/1/2018
Anambra,Abagana,May,5,1,2018,Urea,18.58,5/1/2018,5/1/2018
Anambra,Abagana,Jun,6,1,2018,Urea,18.58,6/1/2018,6/1/2018
Anambra,Abagana,Jul,7,1,2018,Urea,18.83,7/1/2018,7/1/2018
Anambra,Abagana,Aug,8,1,2018,Urea,18.82,8/1/2018,8/1/2018
Anambra,Abagana,Sep,9,1,2018,Urea,18.24,9/1/2018,9/1/2018
Anambra,Abagana,Oct,10,1,2018,Urea,17.89,10/1/2018,10/1/2018
Anambra,Abagana,Nov,11,1,2018,Urea,18.27,11/1/2018,11/1/2018
Anambra,Abagana,Dec,12,1,2018,Urea,18.26,12/1/2018,12/1/2018
Anambra,Abagana,Jan,1,1,2019,Urea,17.87,1/1/2019,1/1/2019
Anambra,Abagana,Feb,2,1,2019,Urea,17.84,2/1/2019,2/1/2019
Anambra,Abagana,Mar,3,1,2019,Urea,17.92,3/1/2019,3/1/2019
Anambra,Abagana,Apr,4,1,2019,Urea,17.36,4/1/2019,4/1/2019
Anambra,Abagana,May,5,1,2019,Urea,17.41,5/1/2019,5/1/2019
Anambra,Abagana,Jun,6,1,2019,Urea,16.87,6/1/2019,6/1/2019
Anambra,Abagana,Jul,7,1,2019,Urea,17.72,7/1/2019,7/1/2019
Anambra,Abagana,Aug,8,1,2019,Urea,18.73,8/1/2019,8/1/2019
