State,Area,year,Product,USDprice
Anambra,Abagana,2017,Urea,23.01
Anambra,Abagana,2018,Urea,18.66
Anambra,Abagana,2019,Urea,17.66
Anambra,Abagana,2020,Urea,19.72
Ekiti,Ado-Ekiti,2010,Urea,29.85
Ekiti,Ado-Ekiti,2011,Urea,28.33
Ondo,Akure,2015,Urea,27.46
Ondo,Akure,2016,Urea,27.3
Ondo,Akure,2017,Urea,23.22
Ondo,Akure,2018,Urea,19.95
Ondo,Akure,2019,Urea,18.25
Ondo,Akure,2020,Urea,19.99
Delta,Asaba,2015,Urea,27.39
Delta,Asaba,2016,Urea,28.64
Delta,Asaba,2017,Urea,22.91
Delta,Asaba,2018,Urea,18.13
Delta,Asaba,2019,Urea,19.91
Delta,Asaba,2020,Urea,19.33
Anambra,Awka,2015,Urea,27.79
Anambra,Awka,2016,Urea,27.79
Anambra,Awka,2017,Urea,23.32
Anambra,Awka,2018,Urea,18.59
Anambra,Awka,2019,Urea,17.67
Anambra,Awka,2020,Urea,20.15
Delta,Asaba,2015,Urea,27.39
Delta,Asaba,2016,Urea,28.64
Delta,Asaba,2017,Urea,22.91
Delta,Asaba,2018,Urea,18.13
Delta,Asaba,2019,Urea,19.91
Delta,Asaba,2020,Urea,19.33
Jigawa,Babura,2010,Urea,26.48
Jigawa,Babura,2011,Urea,28.8
Edo,Benin City,2014,Urea,29.63
Edo,Benin City,2015,Urea,27.81
Edo,Benin City,2016,Urea,29.42
Edo,Benin City,2017,Urea,24.73
Edo,Benin City,2018,Urea,20.87
Edo,Benin City,2019,Urea,18.51
Edo,Benin City,2020,Urea,19.21
Niger,Bida,2010,Urea,26.53
Niger,Bida,2017,Urea,24.19
Benue,Buruku,2017,Urea,22.35
Benue,Buruku,2018,Urea,20.11
Benue,Buruku,2019,Urea,18.93
Benue,Buruku,2020,Urea,19.59
Federal Capital Territory,Bwari,2010,Urea,26.07
Federal Capital Territory,Bwari,2011,Urea,33.25
Federal Capital Territory,Bwari,2014,Urea,29.63
Federal Capital Territory,Bwari,2015,Urea,27.94
Benue,Gboko,2015,Urea,30.32
Benue,Gboko,2016,Urea,28.19
Benue,Gboko,2017,Urea,24.02
Benue,Gboko,2018,Urea,20.27
Benue,Gboko,2019,Urea,18.32
Benue,Gboko,2020,Urea,20.13
Gombe,Gombe,2010,Urea,26.58
Gombe,Gombe,2011,Urea,30.61
Gombe,Gombe,2012,Urea,9.61
Federal Capital Territory,Gwagwalada,2011,Urea,33.25
Federal Capital Territory,Gwagwalada,2014,Urea,29.63
Federal Capital Territory,Gwagwalada,2015,Urea,27.94
Federal Capital Territory,Gwagwalada,2017,Urea,22.01
Federal Capital Territory,Gwagwalada,2018,Urea,18.91
Federal Capital Territory,Gwagwalada,2019,Urea,18.63
Federal Capital Territory,Gwagwalada,2020,Urea,20.1
Kano,Gwarzo,2010,Urea,29.82
Oyo,Ibadan,2010,Urea,25.56
Oyo,Ibadan,2011,Urea,25.94
Oyo,Ibadan,2012,Urea,32.83
Oyo,Ibadan,2013,Urea,30.69
Oyo,Ibadan,2014,Urea,29.63
Oyo,Ibadan,2015,Urea,27.94
