"","act_nopo"
"1","SLM/A-Nur: Sudan Liberation Movement/Army (Abdul Wahid al-Nur Faction) (Splinter Faction)"
"2","Islamic State (Greater Sahara)"
"3","Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad"
"4","Islamic State (West Africa) and/or Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad"
"5","Langdiing-Joth-Gok Clan Militia (South Sudan)"
"6","Unidentified Ethnic Militia (Ethiopia)"
"7","Unidentified Armed Group (Nigeria)"
"8","JNIM: Group for Support of Islam and Muslims"
"9","FPIC: Patriotic and Integrationist Force of Congo"
"10","Islamist Militia (Mozambique)"
"11","Unidentified Communal Militia (Chad)"
"12","Al Shabaab"
"13","Fulani Ethnic Militia (Chad)"
"14","Islamic State (West Africa)"
"15","Kaduna Communal Militia (Nigeria)"
"16","TPLF: Tigray Peoples Liberation Front"
"17","Dahalo Militia"
"18","Dir-Qubeys Sub-Clan Militia (Somalia)"
"19","Samri Youth Militia (Ethiopia)"
"20","ADF: Allied Democratic Forces"
"21","OLF: Oromo Liberation Front (Shane Splinter Faction)"
"22","Katsina Communal Militia (Nigeria)"
"23","Somali Ethnic Militia (Ethiopia)"
"24","Unidentified Armed Group (Ethiopia)"
"25","Adjoukrou Ethnic Militia (Ivory Coast)"
"26","Zamfara Communal Militia (Nigeria)"
"27","Mayi Mayi Militia (Zaire)"
"28","Yansakai Militia"
"29","Ozoro Communal Militia (Nigeria)"
"30","Mayi Mayi Militia (Kyandenga)"
"31","JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara)"
"32","FRPI: Front for Patriotic Resistance of Ituri"
"33","Mayi Mayi Militia (Bakata Katanga)"
"34","Langdiing-Pagok-Gok Sub Clan Militia (South Sudan)"
"35","NDC-R: Nduma Defence of Congo (Renewal)"
"36","Baniari Tchabi Communal Militia (Democratic Republic of Congo)"
"37","Rek Clan Militia (South Sudan)"
